show_id,type,title,country,year_added,release_year,rating,duration,genre,is_movie,is_tv_show
s1,Movie,Dick Johnson Is Dead,United States,2021.0,2020,PG-13,90 min,Documentaries,1,0
s2,TV Show,Blood & Water,South Africa,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s5,TV Show,Kota Factory,India,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s8,Movie,Sankofa,United States,2021.0,1993,TV-MA,125 min,Dramas,1,0
s9,TV Show,The Great British Baking Show,United Kingdom,2021.0,2021,TV-14,9 Seasons,British TV Shows,0,1
s10,Movie,The Starling,United States,2021.0,2021,PG-13,104 min,Comedies,1,0
s13,Movie,Je Suis Karl,Germany,2021.0,2021,TV-MA,127 min,Dramas,1,0
s16,TV Show,Dear White People,United States,2021.0,2021,TV-MA,4 Seasons,TV Comedies,0,1
s18,TV Show,Falsa identidad,Mexico,2021.0,2020,TV-MA,2 Seasons,Crime TV Shows,0,1
s22,TV Show,Resurrection: Ertugrul,Turkey,2021.0,2018,TV-14,5 Seasons,International TV Shows,0,1
s25,Movie,Jeans,India,2021.0,1998,TV-14,166 min,Comedies,1,0
s26,TV Show,Love on the Spectrum,Australia,2021.0,2021,TV-14,2 Seasons,Docuseries,0,1
s28,Movie,Grown Ups,United States,2021.0,2010,PG-13,103 min,Comedies,1,0
s29,Movie,Dark Skies,United States,2021.0,2013,PG-13,97 min,Horror Movies,1,0
s30,Movie,Paranoia,United States,2021.0,2013,PG-13,106 min,Thrillers,1,0
s33,TV Show,Sex Education,United Kingdom,2021.0,2020,TV-MA,3 Seasons,British TV Shows,0,1
s38,TV Show,Angry Birds,Finland,2021.0,2018,TV-Y7,1 Season,Kids' TV,0,1
s39,Movie,Birth of the Dragon,China,2021.0,2017,PG-13,96 min,Action & Adventure,1,0
s40,TV Show,Chhota Bheem,India,2021.0,2021,TV-Y7,3 Seasons,Kids' TV,0,1
s41,TV Show,He-Man and the Masters of the Universe,United States,2021.0,2021,TV-Y7,1 Season,Kids' TV,0,1
s42,Movie,Jaws,United States,2021.0,1975,PG,124 min,Action & Adventure,1,0
s43,Movie,Jaws 2,United States,2021.0,1978,PG,116 min,Dramas,1,0
s44,Movie,Jaws 3,United States,2021.0,1983,PG,98 min,Action & Adventure,1,0
s45,Movie,Jaws: The Revenge,United States,2021.0,1987,PG-13,91 min,Action & Adventure,1,0
s47,Movie,Safe House,South Africa,2021.0,2012,R,115 min,Action & Adventure,1,0
s49,Movie,Training Day,United States,2021.0,2001,R,122 min,Dramas,1,0
s50,TV Show,Castle and Castle,Nigeria,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s51,TV Show,Dharmakshetra,India,2021.0,2014,TV-PG,1 Season,International TV Shows,0,1
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2021.0,2002,TV-14,99 min,Action & Adventure,1,0
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2021.0,2003,TV-14,99 min,Action & Adventure,1,0
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,2021.0,2004,TV-PG,88 min,Action & Adventure,1,0
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,2021.0,2001,TV-PG,100 min,Action & Adventure,1,0
s56,TV Show,Nailed It,United States,2021.0,2021,TV-PG,6 Seasons,Reality TV,0,1
